"طابع زمني","Do you agree to participate in this anonymous research survey?","What is your age group?","What is your primary field of study or work?","How would you describe your technical / computer skill level?","Have you ever received a suspicious email, message, or link that you believed was phishing?","How confident are you in your ability to recognize phishing links or websites?","Which types of security or phishing warnings have you seen before? (Select all that apply)","How intrusive or annoying do you find typical pop-up or full-page security warnings while browsing?","Which option do you prefer for a phishing detection tool?","How concerned are you about security tools sending your visited links to external servers for analysis?","How important is it for phishing warnings to appear almost instantly (without visible delay) while browsing?","How useful do you think such an inline underline under suspicious links would be?","Compared to pop-up or full-page warnings, how intrusive would inline underlining feel to you?","If a link you are about to click is underlined in red with a “suspicious link” tooltip, how likely are you to double-check it before clicking?","How much would you trust this kind of inline warning system if it came from your browser or university?","If you had to choose only ONE type of phishing warning, which would you prefer?"
"2025/11/20 12:36:55 ص غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","2","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","2","A tool that analyzes links locally on my device","2","5","5","1","3","3","Inline underline beneath suspicious links"
"2025/11/22 3:05:31 م غرينتش+3","Yes, I agree to participate","18–24","Humanities / Social Sciences","Intermediate","Yes, once or a few times","3","Company / university security training warnings","5","A tool that analyzes links locally on my device","5","5","5","5","5","3","Inline underline beneath suspicious links"
"2025/12/11 5:49:52 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","4","Browser full-page warning (e.g., “Deceptive site ahead”);Antivirus / security software pop-up warning;Company / university security training warnings","5","A tool that analyzes links locally on my device","5","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 5:59:21 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:00:05 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:01:05 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:01:31 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:01:58 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:02:24 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:02:51 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:03:17 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:03:44 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:04:11 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
